2003,141,3,2.37,42.7308283,22.7,3,3.5,382.54994,0.76,14,74.7
2004,142,3,2.56,41.62053588,21.9,3,3.68,361.289374,0.757,13.8,74.6
2005,143,3,2.8,20.76877311,21.2,4,3.21,335.521375,0.752,13.7,74.5
2006,141,3,3.03,20.83302367,2.5,4,3.28,322.992615,0.746,13.6,74.5
2007,138,3,2.31,191.7267589,19.8,4,3.43,2819.511161,0.739,13.5,74.5
2008,183,4,2.05,13.39092189,19.2,4,3.37,216.681584,0.735,13.4,71.8
2009,172,4,2.1,17.81424344,18.5,4,3.44,254.489192,0.731,13.3,72.3
2010,146,4,2.29,127.6377505,17.9,5,3.76,1644.816372,0.725,13.2,73.7
2011,145,4,1.96,120.2471713,17.2,5,4.6,1448.7611,0.718,13.1,73.8
2012,138,4,1.97,97.76637062,16.6,5,4.6,1259.87591,0.712,12.9,74.2
2013,197,6,1.56,15.35342268,16.1,10,4.28,174.6692,0.705,12.8,69.1
2014,146,5,1.69,72.4280894,15.6,5,3.95,989.4547732,0.697,12.7,73.9
